ImageName,VietnameseName,EnglishName,Price
005.jpeg,SỮA TƯƠI KEM TRỨNG BRULLE TRỨNG MUỐI M,MILK WITH CUSTARD CREAM BRULLE AND SALTED EGG M,20000
005.jpeg,SỮA TƯƠI KEM TRỨNG BRULLE TRỨNG MUỐI L,MILK WITH CUSTARD CREAM BRULLE AND SALTED EGG L,25000
005.jpeg,MILO DẦM TRÂN CHÂU ĐƯỜNG ĐEN ĐẶC BIỆT FULL TOPPING M,MACERATED MILO WITH BLACK SUGAR BUBBLE SPECIAL FULL TOPPING M,25000
005.jpeg,TRÀ XANH DƯA HẤU M,GREEN TEA WITH WATERMELON M,12000
005.jpeg,TRÀ XANH DƯA HẤU L,GREEN TEA WITH WATERMELON L,17000
005.jpeg,TRÀ ỔI HỒNG M,PINK GUAVA TEA M,20000
005.jpeg,TRÀ ỔI HỒNG L,PINK GUAVA TEA L,25000
005.jpeg,TRÂN CHÂU ĐEN TRẮNG,BLACK AND WHITE BUBBLE,5000
005.jpeg,KEM FLAN ,FLAN,5000
005.jpeg,KEM TRỨNG,CUSTARD CREAM,5000
005.jpeg,BÁNH MILO,MILO CAKE,5000
005.jpeg,PUDDING,PUDDING,5000
006.jpeg,CAFE ĐEN,BLACK COFFEE,15000
006.jpeg,CAFE SỮA,MILK COFFEE,18000
006.jpeg,"TRÀ BẮC, TRÀ ĐEN, TRÀ Ô-LONG",BLACK TEA,25000
006.jpeg,"TRÀ CHANH, GỪNG, MẬT ONG","LIME, GINGER, HONEY TEA",25000
006.jpeg,"COCA, PEPSI, 7UP, NUTRI DÂU CAM","COCA, PEPSI, 7UP, STRAWBERRY AND ORANGE NUTRI",18000
006.jpeg,"COKE LIGHT, REDBULL","COKE LIGHT, REDBULL",20000
006.jpeg,NƯỚC SUỐI,WATER,12000
006.jpeg,NƯỚC KHOÁNG,MINERAL WATER,18000
006.jpeg,SODA CHANH,LIME SODA,22000
006.jpeg,TONIC WATER,TONIC WATER,22000
006.jpeg,"CAM, CARROT, ỔI",ORANGE CARROT GUAVA,25000
006.jpeg,"THƠM, CÀ CHUA, DƯA HẤU","PINEAPPLE, TOMATO, WATERMELON",25000
006.jpeg,"CHANH TƯƠI, CHANH DÂY","LIME, PASSION FRUIT",20000
006.jpeg,VITAMIN - B.12,VITAMIN - B.12,28000
006.jpeg,VITAMIN - A & E,VITAMIN - A & E,30000
006.jpeg,VITAMIN - K & A,VITAMIN - K & A,35000
006.jpeg,VITAMIN - C & B,VITAMIN - C & B,30000
006.jpeg,VIRGIN MOJITO,VIRGIN MOJITO,25000
006.jpeg,BLUEBERRY LEMON,BLUEBERRY LEMON,30000
006.jpeg,ZOO ZOO,ZOO ZOO,30000
006.jpeg,GINGER FIZZ,GINGER FIZZ,25000
006.jpeg,TIGER NÂU,BROWN TIGER,16000
006.jpeg,TIGER LON,TIGER CAN,16000
006.jpeg,TIGER BẠC,CRYSTAL TIGER,17000
006.jpeg,HEINEKEN,HEINEKEN,18000
006.jpeg,SAIGON SPECIAL,SAIGON SPECIAL,15000
006.jpeg,BIA QUY NHƠN,QUY NHON BEER,12000
006.jpeg,STRONG BOW (TÁO - DÂU),STRONGBOW APPLE STRAWBERRY,22000
006.jpeg,ONYXX - 0.5L,ONYXX - 0.5L,47000
006.jpeg,AMBER - 0.5L,AMBER - 0.5L,47000
006.jpeg,BAY - 1L,BAY - 1L,45000
006.jpeg,MAKKOLI RƯỢU GẠO HÀN QUỐC 750 ML,KOREAN RICE WINE MAKKOLI 750 ML,65000
006.jpeg,MOJITO,MOJITO,45000
006.jpeg,GIN TONIC,GIN TONIC,40000
006.jpeg,MARAGHITA,MARAGHITA,40000
006.jpeg,LONG ISLAND ICE TEA,LONG ISLAND ICE TEA,55000
006.jpeg,WISKEY SOUR,WISKEY SOUR,40000
006.jpeg,MANGO DAIQUIRI,MANGO DAIQUIRI,40000
006.jpeg,SUNRISE ONE 4Q,SUNRISE ONE 4Q,55000
006.jpeg,CUBA LIBRE,CUBA LIBRE,45000
007.jpeg,"HOUSE WINE DABECO, SAUVIGNON, BLANC, VIETNAM","HOUSE WINE DABECO, SAUVIGNON, BLANC, VIETNAM",35000
007.jpeg,"HOUSE WINE CONNAISSUER, SAUVIGNON BLANC, FRANCE","HOUSE WINE CONNAISSUER, SAUVIGNON BLANC, FRANCE",65000
007.jpeg,"HOUSE WINE DABECO EXPORT, CADINAL, VIETNAM","HOUSE WINE DABECO EXPORT, CADINAL, VIETNAM",35000
007.jpeg,"WHITE WINE CONNAISUUER, SHIRAZ, FRANCE","HOUSE WINE CONNAISUUER, SHIRAZ, FRANCE",75000
007.jpeg,"WHITE WINE CONNAISUUER, SAUVIGON BLANC, FRANCE","WHITE WINE CONNAISUUER, SAUVIGON BLANC, FRANCE",390000
007.jpeg,"WHITE WINE DABECO CLASSIC, SAUVIGNON BLANC, VIETNAM","WHITE WINE DABECO CLASSIC, SAUVIGNON BLANC, VIETNAM",190000
007.jpeg,"RED WINE CONNAISSUEER, SHIRAZ, FRANCE 2005","RED WINE CONNAISSUEER, SHIRAZ, FRANCE 2005",480000
007.jpeg,"RED WINE 1895, CARBERNET SAUVIGNON, FRANCE, 2016 ","RED WINE 1895, CARBERNET SAUVIGNON, FRANCE, 2016 ",370000
007.jpeg,"RED WINE CHIVO, CARBERNET SAUVIGNON, CHILE","RED WINE CHIVO, CARBERNET SAUVIGNON, CHILE",450000
007.jpeg,"RED WINE GLAMOUR, SPECIAL SELECTION, CARBERNET SAUVIGNON, CHILE","RED WINE GLAMOUR, SPECIAL SELECTION, CARBERNET SAUVIGNON, CHILE",790000
007.jpeg,"RED WINE LUCKY SEVEN, CABERNET SAUVIGNON, AUSTRALIA, 2016","RED WINE LUCKY SEVEN, CABERNET SAUVIGNON, AUSTRALIA, 2016",390000
007.jpeg,"RED WINE DABECO CLASSIC, CARDINAL, VIETNAM","RED WINE DABECO CLASSIC, CARDINAL, VIETNAM",190000
007.jpeg,"RED WINE DABECO STRONG WINE, CARBENET SAUVIGNON, VIETNAM","RED WINE DABECO STRONG WINE, CARBENET SAUVIGNON, VIETNAM",250000
007.jpeg,"RED WINE, COLCH RESERVE, CARBENET SAUVIGNON, CHILE, 2014","RED WINE, COLCH RESERVE, CARBENET SAUVIGNON, CHILE, 2014",320000
007.jpeg,"RED WINE AVALON, CARBENET SHIRAZ MERLOT, AUSTRALIA","RED WINE AVALON, CARBENET SHIRAZ MERLOT, AUSTRALIA",290000
008.jpeg,LƯỜN NGỖNG XÔNG KHÓI,STEAMED GOOSE RIBS,79000
008.jpeg,TÔM HẤP,STEAMED SHRIMP,79000
008.jpeg,TÔM XÀO BƠ TỎI,SHRIMP STIR FRIED WITH BUTTER AND GARLIC,79000
008.jpeg,TÔM RANG ME ,SHRIMP FRIED WITH TAMARIND,79000
008.jpeg,TÔM RANG MUỐI,SHRIMP FRIED WITH SALT,79000
008.jpeg,MỰC HẤP,STEAMED SQUID,79000
008.jpeg,MỰC CHIÊN MẮM,FRIED SQUID WITH FISH SAUCE,79000
008.jpeg,MỰC SỐT SA TẾ,SQUID WITH SPICY SAUCE,79000
008.jpeg,BẠCH TUỘC SỐT CÔ BA,OCTOPUS WITH MS BA SAUCE,79000
008.jpeg,BẠCH TUỘC SỐT SA TẾ,OCTOPUS WITH SPICY SAUCE,79000
008.jpeg,BẠCH TUỘC LẮC ỚT TẮC,OCTOPUS SHAKE WITH CHILLES AND KUMQUAT,79000
008.jpeg,BÒ TƠ HẤP SẢ,STEAMED CALF WITH CITRONELLA,79000
008.jpeg,BÒ TƠ XÀO LÀ TỐT,CALF STIR FRIED WITH PIPER LOLOT,79000
008.jpeg,BÒ TƠ XÀO LĂN,CALF STIR FRIED  ,79000
008.jpeg,BÒ TƠ XÀO NÉN,COMPRESS STIR FRIED CALF,79000
008.jpeg,BÒ TƠ XÀO SẢ ỚT,SPICY STIR FRIED CALF,79000
008.jpeg,BẮP BÒ SỐT TIÊU XANH,COW MUSSCLE WITH GREEN PEPPER SAUCE,85000
008.jpeg,BẮP BÒ XÀO SA TẾ,SPICY STIR FRIED COW MUSSCLE,85000
008.jpeg,BÒ LÚC LẮC,BEEF RATTLES,85000
008.jpeg,TRỨNG NON CHÁY TỎI,FRESH EGG STIR WITH GARLIC,85000
008.jpeg,CÀNG GHẸ RANG MUỐI,FRIED SENTINEL CRAB WITH SALT,89000
008.jpeg,CÀNG GHẸ RANG ME,FRIED SENTINEL CRAB WITH TAMARIND,89000
008.jpeg,ỐC HƯƠNG HẤP,STEAMED SNAIL,99000
008.jpeg,ỐC HƯƠNG XÀO SẢ,STIR FRIED SNAIL WITH CITRONELLA,99000
008.jpeg,ỐC HƯƠNG BƠ TỎI,SNAIL WITH BUTTER AND GARLIC,99000
008.jpeg,ỐC HƯƠNG RANG MUỐI,STIR FRIED SNAIL WITH SALT,99000
008.jpeg,ỐC HƯƠNG XÀO ME,STIR FRIED SNAIL WITH TAMARIND,99000
009.jpeg,MỰC CƠM CHIÊN MẮM,SQUID FRIED WITH FISH SAUCE,120000
009.jpeg,MỰC CƠM CHIÊN TỎI,SQUID FRIED WITH FISH GARLIC,120000
009.jpeg,MỰC CƠM HẤP,STEAMED BABY SQUID,120000
009.jpeg,MỰC CƠM NƯỚNG MUỐI ỚT,GRILLED SQUID WITH SPICY SALT,120000
009.jpeg,MỰC NANG CHIÊN MẮM,FRIED CUTTLEFISH WITH FISH SAUCE,120000
009.jpeg,MỰC NANG CHIÊN TỎI,FRIED CUTTLEFISH WITH FISH GARLIC,120000
009.jpeg,MỰC NANG HẤP,STEAMED CUTTLEFISH,120000
009.jpeg,MỰC NANG XÀO CHUA NGỌT,SWEET AND SOUR STIR FRIED CUTTLEFISH ,120000
009.jpeg,MỰC ỐNG NƯỚNG MỌI,GRILLED SQUID,120000
009.jpeg,MỰC ỐNG CHIÊN TỎI,FRIED SQUID WITH GARLIC,120000
009.jpeg,MỰC ỐNG CHIÊN XÙ,FRIED SQUID,120000
009.jpeg,MỰC ỐNG HẤP HÀNH GỪNG,STEAMED SQUID WITH GARLIC AND GINGER,120000
009.jpeg,MỰC ỐNG NHÚNG DỪA,SQUID DIPPED WITH COCONUT,240000
009.jpeg,MỰC ỐNG NƯỚNG MUỐI ỚT,GRILLED SQUID WITH SPICY SALT,120000
009.jpeg,MỰC ỐNG XÀO CHUA NGỌT,SWEET AND SOUR STIR FRIED SQUID,125000
009.jpeg,KHÔ MỰC NƯỚNG,FRIED DRY CUTTLEFISH,105000
009.jpeg,MỰC 1 NẮNG NƯỚNG,GRILLED DRY CUTTLEFISH,155000
009.jpeg,MỰC KHÔ CHIÊN MẮM,FRIED DRY CUTTLEFISH WITH FISH SAUCE,105000
009.jpeg,BẠCH TUỘC HẤP,STEAMED OCTOPUS,NOT GIVEN
009.jpeg,BẠCH TUỘC NƯỚNG,GRILLED OCTOPUS,NOT GIVEN
010.jpeg,CÁ ĐUỐI NẤU LÁ GIANG,BOILED RAY WITH RIVER LEAF,140000
010.jpeg,CÁ ĐUỐI NƯỚNG,GRILLED RAY,100000
010.jpeg,CÁ ĐUỐI UM,BOILED RAY,120000
010.jpeg,CÁ BÓP HẤP GIA VỊ,STEAMED COBIA FISH WITH FLAVOUR,NOT GIVEN
010.jpeg,CÁ BÓP HẤP XÌ DẦU,STEAMED COBIA FISH WITH SOY SAUCE,NOT GIVEN
010.jpeg,CÁ BÓP NẤU MẶN,SALTED COBIA FISH,NOT GIVEN
010.jpeg,CÁ BÓP NẤU MĂNG,BOILED COBIA FISH WITH BAMBOO SHOOT,NOT GIVEN
010.jpeg,CÁ BÓP NƯỚNG GIA VỊ,GRILLED COBIA FISH WITH FLAVOUR,NOT GIVEN
010.jpeg,CÁ BÓP NƯỚNG MUỐI ỚT,GRILLED COBIA FISH WITH SPICY SALT,NOT GIVEN
010.jpeg,CÁ BÓP SỐT MUỐI,COBIA FISH WITH SALTED SAUCE,NOT GIVEN
010.jpeg,CÁ CHẠCH CHIÊN GIÒN,FRIED CRUNCHY LOACH ,NOT GIVEN
010.jpeg,CÁ CHẠCH NƯỚNG,GRILLED LOACH,NOT GIVEN
010.jpeg,CÁ CHẠCH UM HOA CHUỐI,SIMMERED LOACH WITH BANANA FLOWER,NOT GIVEN
010.jpeg,CÁ DÌA CHIÊN,FRIED RABBITFISH,NOT GIVEN
010.jpeg,CÁ DÌA NẤU LÁ GIANG,BOILED RABBITFISH WITH RIVER LEAF,NOT GIVEN
010.jpeg,CÁ DÌA NƯỚNG,GRILLED RABBITFISH,NOT GIVEN
010.jpeg,CÁ ĐỐI NẤU MẶN,SALTED BOILED GREY MULLET,NOT GIVEN
010.jpeg,CÁ ĐỐI NƯỚNG MUỐI ỚT,GRILLED GREY MULLET WITH SPICY SALT,NOT GIVEN
010.jpeg,CÁ ĐỤC CHIÊN XÙ,FRIED GUDGEON,NOT GIVEN
010.jpeg,CÁ ĐỤC NƯỚNG,GRILLED GUDGEON,NOT GIVEN
010.jpeg,CÁ GÁY NẤU MẶN,SALTED BOILED CYPRINID,NOT GIVEN
010.jpeg,CÁ GÁY NƯỚNG MUÔI ỚT,GRILLED CYPRINID WITH SPICY SALT,NOT GIVEN
010.jpeg,CÁ HỒNG HẤP BÁNH TRÁNG,STEAMED SNAPPER WITH RICEPAPER,NOT GIVEN
010.jpeg,CÁ HỒNG NƯỚNG,GRILLED SNAPPER,NOT GIVEN
010.jpeg,CÁ HỒNG SỐT ME,SNAPPER WITH TAMARIND SAUCE,NOT GIVEN
010.jpeg,CÁ MAO ẾCH NẤU RAU RĂM,BOILED STONEFISH WITH LAKSA LEAVES,NOT GIVEN
010.jpeg,CÁ MAO ẾCH NƯỚNG MUỐI ỚT,GRILLED STONEFISH WITH SPICY SALT,NOT GIVEN
011.jpeg,CÁ BÒ DA NƯỚNG,GRILLED AMBERJACK SKIN,290000
011.jpeg,CÁ CƠM 1 NẮNG CHIÊN MẮM,FRIED DRY ANCHOVY WITH FISH SAUCE,75000
011.jpeg,CÁ RÔ BÍ CHIÊN GIÒN,FRIED CRUNCHY BABY PERCH,80000
011.jpeg,CÁ SƠN NƯỚNG,GRILLED SQUIRREL FISH,290000
011.jpeg,LƯƠN NƯỚNG ỐNG TRE,GRILLED EEL WITH BAMBOO TUBE,95000
011.jpeg,LƯƠN UM,SIMMERED EEL,100000
011.jpeg,LƯƠN XÀO LĂN,STIR FRIED EEL,95000
011.jpeg,LƯƠN XÀO MIẾN,STIR FRIED EEL WITH RICE NOODLE,105000
011.jpeg,LƯƠN XÀO XẢ ỚT,SPICY STIR FRIED EEL,95000
011.jpeg,MIẾN XÀO LƯƠN,STIR FRIED RICE NOODLE WITH EEL,120000
011.jpeg,CHÌNH BIỂN NƯỚNG,GRILLED SHORT FINNED EEL,380000
011.jpeg,CHÌNH MUN NẤU CHUỐI ĐẬU,BOILED ANGUILLA BICALOR WITH BANANA AND BEAN,NOT GIVEN
011.jpeg,CHÌNH MUN NƯỚNG MUỐI ỚT,GRILLED ANGUILLA BICALOR WITH SPICY SALT,NOT GIVEN
011.jpeg,CHÌNH MUN RANG MUỐI,STIR ANGUILLA BICALOR WITH SALT,NOT GIVEN
